,names,managers,addresses,types,urls,phones,被保険者数,登記注意事項,lat,lon
202,株式会社レイシア,-,足立区千住１丁目３番６号ＴＯＣビル３階,-,-,-,3,,35.747835,139.801407
203,合同会社ライフ・バリュー・クリエーション,-,足立区千住１丁目４番１号,-,-,-,,,35.747835,139.801407
204,株式会社新地,-,足立区本木２丁目２１番１７号リック西新井,-,-,-,,,35.767596,139.785349
205,株式会社ヤジマ,-,足立区神明南２丁目２番６号,-,-,-,3,,35.789237,139.832085
206,株式会社ＪＯＹ,-,足立区鹿浜１丁目１９番１０−２０３号,不動産、レンタル・リース,-,-,1,,35.776167,139.748476
207,株式会社はつ花,-,足立区西新井６丁目４３番４号,-,-,-,5,,35.780529,139.776124
208,株式会社セルビス,-,足立区中央本町３丁目１２番１−１０１４号,-,-,-,1,,35.772271,139.808058
209,有限会社備長亭,-,足立区東和２丁目１８番３号,-,-,-,,,35.768813,139.841969
210,有限会社トーヨーサービス,-,足立区六木３丁目１８番８号２０５号室,-,-,-,,,35.797245,139.842774
211,有限会社ラスティング・サポート,-,足立区綾瀬６丁目１３番１７−３０２号,-,-,-,,,35.77093,139.826063
212,株式会社うわ,-,足立区六木１丁目１番８号,メーカー,-,-,,,35.791125,139.837839
213,株式会社エー・シー・ティー,-,足立区千住曙町４１番１−２２０５号,-,-,-,,,35.741828,139.814018
214,ティエヌケイ株式会社,菅原秀人,足立区東和５丁目８番１６号,建設,http://www.tnk-ltd.jp/,03-5697-7001,26,,35.775235,139.838226
215,東陸運輸株式会社,-,足立区東保木間２丁目１６番４号,運輸・倉庫関連,-,-,,,35.792872,139.813541
216,マルシン工業株式会社,渡辺猛彦,足立区西新井７丁目１９番１２号,商社,http://www.marushin-helmet.co.jp/,03-3693-5791,,,35.780571,139.771587
217,株式会社ヤマソーコーポレーション,-,足立区南花畑４丁目２３番５号,建設,-,03-5680-1880,2,,35.796992,139.819152
218,朝日工業株式会社,伊原敏男,足立区本木東町２６番１４号,建設,http://www.asahione.co.jp/,03-3840-7211,60,,35.766115,139.782345
219,朝日製凾株式会社,-,足立区古千谷本町１丁目６番３２号,メーカー,-,-,1,,35.802527,139.775001
221,足立工事サービス株式会社,-,足立区西伊興３丁目１８番１９号,不動産、レンタル・リース,-,03-3856-1620,,,35.798353,139.777356
222,足立市街地開発株式会社,-,足立区日ノ出町２７番３号棟１０２号,不動産、レンタル・リース,http://www1.ocn.ne.jp/~aud/,03-3879-1661,10,,35.753521,139.810519
224,株式会社足立ナチュラル,-,足立区梅島１丁目１９番１０号,-,-,-,,,35.772496,139.800703
225,株式会社アオイ建築設計亊務所,-,足立区西伊興３丁目３番２４号,サービス,-,-,5,,35.798353,139.777356
